No.,Chinese (Simplified),Type,Gender,Note,Reference,EN,EN Optional,EN Status,JA,读音,JA Status,KO,KO Optional,KO Status,DE,FR,ES-419,RU,PT-BR,TH,ID,IT,Key_Index
4756,风行者,任务/成就 Quest/Achievement,/,,,Wind Walker,,Confirmed,ウィンドランナー,,Confirmed,윈드러너,,Confirmed,Windwanderer,Marche sur le vent,Caminante del viento,Ходящий с ветром,Andarilho dos Ventos,ผู้ท่องสายลม,Pejalan Angin,,
4757,极速启程,任务/成就 Quest/Achievement,/,在赛车PVP对战中获得首次胜利。,,Lightning Start,,Confirmed,フルスピード発進,,Confirmed,극한의 속도를 찾아서,,Confirmed,Blitzstart,Départ éclair,Inicio del relámpago,Молниеносный старт,Partida Relâmpago,ออกตัวเร็วจี๋,Awal Kilat,,
4758,飚速狂徒,任务/成就 Quest/Achievement,/,在赛车PVP对战中获得10次胜利。,,Speed Demon,,Confirmed,スピード狂人,,Confirmed,스피드광,,Confirmed,Geschwindigkeitsdämon,Démon de la rapidité,Demonio veloz,Демон скорости,Demônio da Velocidade,ปีศาจแห่งความเร็ว,Iblis Kecepatan,,
4759,速度之王,任务/成就 Quest/Achievement,/,在赛车PVP对战中获得50次胜利。,,King of Speed,,Confirmed,スピードの王様,,Confirmed,스피드의 왕,,Confirmed,König der Geschwindigkeit,Roi de la célérité,Rey de la velocidad,Король скорости,Rei da Velocidade,ราชาแห่งความเร็ว,Raja Kecepatan,,
4760,规则X遵守X收容,任务/成就 Quest/Achievement,/,完成「成交？成交！」系列任务。,,"Rules, Compliance, Containment",,Confirmed,規則×順守×収容,,Confirmed,"규칙, 준수, 수용",,Confirmed,"Vorschriften, Konformität, Eindämmung","Règles, conformité, confinement","Reglas, cumplimiento, contención","Правила, соблюдение, сдерживание","Regras, Conformidade, Contenção",กฎเกณฑ์ การปฏิบัติตาม การเก็บกัก,"Peraturan, Kepatuhan, Penahanan",,
4761,想吃……番茄酱,任务/成就 Quest/Achievement,/,完成「番茄酱暴走实录」系列任务。,,Want to eat... Tomato Jelly,,Confirmed,トマトゼリーが食べたい…,,Confirmed,토마토 젤리... 먹고 싶어,,Confirmed,Hast du etwa Lust auf … Tomatengelee,J’ai une envie de… gelée de tomates,Quiero comer… gelatina de tomate,Хочу сесть… томатное желе,Quero comer... Geleia de Tomate,อยากกิน... เจลลี่มะเขือเทศ,Mau makan... Jeli Tomat,,
4762,滴！市民卡,任务/成就 Quest/Achievement,/,完成「请收好您的新异象市民证！」系列任务。,,Beep! Citizen ID,,Confirmed,ピッ！市民IDカード,,Confirmed,삐빅! 시민 카드입니다,,Confirmed,Piep! Bürger-Ausweis,Carte d’identité Bip ! citoyenne,¡Bip! ID de ciudadano,Гражданский идентификатор: Бип!,Bip! ID de Cidadão,บี๊บ! บัตรพลเมือง,Bip! ID Penduduk,,
4763,最后一口，是落阳,任务/成就 Quest/Achievement,/,完成「出发，美味调查队！」系列任务。,,The Last Bite is the Setting Sun,,Confirmed,最後の一口は、夕日だ,,Confirmed,노을을 디저트 삼아,,Confirmed,Der letzte Bissen ist die untergehende Sonne,"La dernière bouchée, c’est le coucher de soleil",El último bocado es el sol poniente,Последний укус – как заходящее солнце,A Última Mordida é o Pôr do Sol,คำสุดท้ายคืออาทิตย์อัสดง,Gigitan Terakhir adalah Mentari Terbenam,,
4764,昨日照常升起,任务/成就 Quest/Achievement,/,完成「书卷多情似故人」系列任务。,,Yesterday Rose as Always,,Confirmed,太陽は昨日も昇った,,Confirmed,어제도 태양은 떴다,,Confirmed,"Die gestrige Rose, auf ewig",Hier s’est levé comme à l’ordinaire,La rosa de ayer de siempre,"Вчерашняя роза, как всегда",Ontem Veio Como Sempre,วันวานยังคงมาถึงเช่นเคย,Kemarin Naik Seperti Biasa,,
4765,下！雪！啦！,任务/成就 Quest/Achievement,/,完成「写给你的逆行诗」系列任务。,,It's! Snowing!,,Confirmed,ゆ！き！だ！,,Confirmed,눈! 온! 다!,,Confirmed,Es! Schneit!,Il ! Neige !,¡Está nevando!,Снег! Идёт!,Está! Nevando!,หิมะ! ตก! แล้ว!,Salju! Turun!,,
4766,一封来自过去的信,任务/成就 Quest/Achievement,/,完成「当秋千晃了一千下」系列任务。,,A Letter from the Past,,Confirmed,過去からの手紙,,Confirmed,과거에서 온 편지,,Confirmed,Ein Brief aus der Vergangenheit,Une lettre du passé,Una carta del pasado,Письмо из прошлого,Uma Carta do Passado,จดหมายจากอดีต,Surat dari Masa Lalu,,
4767,侵略！章鱼拖车！,任务/成就 Quest/Achievement,/,异象委托的名字，对应异象是 拖车艄,,Invasion! Octopus Trailer!,,Confirmed,侵略！トレーラー蛸,,Confirmed,습격이야! 문어 트럭이다!,,Confirmed,Invasion! Octopus-Alarm!,Invasion ! Remorque poulpe !,¡Invasión! ¡Tráiler de pulpo!,Вторжение! Фургон-осьминог!,Invasão! Trailer Polvo!,รถเทรลเลอร์ปลาหมึกยักษ์! บุก!,Invasi! Trailer Gurita!,,
4768,白尾树环山公路之影,任务/成就 Quest/Achievement,/,异象委托的名字，对应异象是 别让我停下！,,Ghost of Whitetail Ridge,,Confirmed,白尾樹山路公道の影,,Confirmed,흰꼬리 산악 도로의 그림자,,Confirmed,Der Geist vom Weißwedelkamm,Le fantôme de la Crête de la queue blanche,Fantasma de la Cresta Colablanca,Призрак Уайттейл-Ридж,Fantasma do Cume Whitetail,ผีแห่งสันเขาหางขาว,Hantu Whitetail Ridge,,
4769,幽灵大道狂野拉力赛,任务/成就 Quest/Achievement,/,异象委托的名字，对应异象是 无首铁驭,,Ghost Boulevard Wild Rally,,Confirmed,幽霊通り狂乱ラリー,,Confirmed,유령 거리 와일드 랠리 경주,,Confirmed,Wilder Ritt auf dem Geister-Boulevard,Le rallye sauvage du boulevard fantomatique,Congregación salvaje en el bulevar fantasma,Дикое ралли на бульваре Призраков,Rali Selvagem da Avenida Fantasma,แรลลี่สุดมันบนถนนผีสิง,Reli Liar Jalan Raya Hantu,,
4770,伤心的熊不流泪,任务/成就 Quest/Achievement,/,异象委托的名字，对应异象是 伤心英熊,,A Sad Bear Cries Not,,Confirmed,英雄熊は泣かず,,Confirmed,슬퍼도 안 운다곰,,Confirmed,Ein trauriger Bär weint nicht,Un ours triste ne pleure pas,Un oso triste no llora,Грустный медведь не плачет,Um Urso Triste Não Chora,หมีเศร้าไม่ร้องไห้,Beruang Sedih Tidak Menangis,,
4771,省电侠,任务/成就 Quest/Achievement,/,异象委托的名字，对应异象是 附电灵,,Power Saver,,Confirmed,省エネヒーロー,,Confirmed,절전맨,,Confirmed,Stromsparfunktion,Économie d’énergie,Ahorrador poderoso,Энергосбережение,Economia de Energia,นักประหยัดไฟ,Penghemat Daya,,
4772,天弃之子,任务/成就 Quest/Achievement,/,异象委托的名字，对应异象是 起潮洄天,,Heaven's Forsaken,,Confirmed,見放された子ども,,Confirmed,버려진 날씨의 아이,,Confirmed,Himmelssturz,L’esseulé des cieux,Abandonado por los cielos,Отверженный небесами,Abandonado Pelo Céu,สรวงสวรรค์ทอดทิ้ง,Surga Ditinggalkan,,
4773,换个角度？,任务/成就 Quest/Achievement,/,异象委托的名字,,Change Your Perspective?,,Confirmed,角度を変えてみたら？,,Confirmed,다른 각도로?,,Confirmed,Ändern der Perspektive?,Changer de perspective,¿Cambio de perspectiva?,Изменить перспективу?,Mude Sua Perspectiva?,เปลี่ยนมุมมอง?,Ubah Pandanganmu?,,
4774,深蓝之恸,任务/成就 Quest/Achievement,/,异象委托的名字,,Deep Blue Sorrow,,Confirmed,深藍の嘆き,,Confirmed,깊은 비탄,,Confirmed,Tiefblauer Kummer,Chagrin du grand bleu,Pesar azul profundo,Глубокая тоска,Tristeza Azul Profundo,ความเศร้าโศกสีน้ำเงินเข้ม,Duka Biru Tua,,
4775,番茄酱暴走实录,剧情 Storyline,/,番外-安魂曲篇的标题；正式版本为“番茄酱暴走现场实录！”,,Tomato Jelly Rampage: Live Report!,,Confirmed,実録！トマトゼリー暴走現場！,,Confirmed,토마토 젤리 폭주 현장: 실시간 라이브!,,Confirmed,Tomatengelee-Raserei: Live-Bericht!,Furie de gelée de tomates : reportage en direct !,Desenfreno de gelatina de tomate: ¡Informe en vivo!,Ярость томатного желе: прямой репортаж!,Loucura da Geleia de Tomate: Cobertura ao Vivo!,เจลลี่มะเขือเทศอาละวาด: รายงานสด!,Amukan Jeli Tomat: Laporan Langsung!,,
4776,传说起点的究极漂移！,剧情 Storyline,/,豆腐店支线的标题,,"Drift Away, Legend!",,Confirmed,伝説が始まる究極のドリフト！,,Confirmed,"전설의 시작, 궁극의 드리프트!",,Confirmed,Legendärer Drift!,C’est parti pour le drift !,"¡Ve a la deriva, leyenda!","Дрифтуй, легенда!","Derrape, Lenda!",สุดยอดการดริฟต์ ณ จุดเริ่มต้นของตำนาน!,"Mengepotlah, Legenda!",,
4777,请收好您的新异象市民证！,剧情 Storyline,/,异管局支线的标题,,New Anomaly Citizen ID!,,Confirmed,新しい異象市民IDカードをお受け取りください！,,Confirmed,새로 발급한 이상 시민증입니다!,,Confirmed,Neuer Anomalie-Bürger-Ausweis!,Nouvelle carte d’identité d’anomalie citoyenne !,¡Nuevo ID de ciudadano anomalía!,Новый гражданский идентификатор аномалии,Novo ID de Cidadão Anômalo!,บัตรประจำตัวพลเมืองอะนอมาลีใบใหม่!,ID Penduduk Anomali Baru!,,
4778,出发，美味调查队！,剧情 Storyline,/,薯条兽支线的标题,,"Let's Go, Delicious Investigators!",,Confirmed,出発、グルメ調査隊！,,Confirmed,미식 탐사대 출발!,,Confirmed,"Auf geht’s, köstliche Ermittler!","En avant, délicieux enquêteurs !","¡Vamos, deliciosos investigadores!","Вперед, исследователи вкуса!","Vamos, Investigadores Deliciosos!",ไปกันเถอะ ทีมนักสืบของอร่อย!,"Ayo, Penyelidik Lezat!",,
4779,书卷多情似故人,剧情 Storyline,/,报刊亭支线的标题,,Books Are Like Old Friends,,Confirmed,書物は情にあふれ、旧友の如し,,Confirmed,책은 오랜 벗처럼 다정하다,,Confirmed,Bücher sind wie alte Freunde,Les livres sont pareils à d’anciens amis,Los libros son como viejos amigos,Книги — как старые друзья,Livros São Como Velhos Amigos,หนังสือก็เหมือนสหายเก่า,Buku Itu Seperti Teman Lama,,
4780,写给你的逆行诗,剧情 Storyline,/,雪人支线的标题,,A Retrograde Poem for You,,Confirmed,君に捧ぐ逆行の詩,,Confirmed,당신을 위한 역행의 시,,Confirmed,Ein rückläufiges Gedicht für dich,Un poème rétrograde à votre honneur,Un poema retrógrado para ti,Стих задом наперед,Um Poema Retrógrado Para Você,บทกลอนย้อนกลับแด่คุณ,Puisi Jalan Surut Untukmu,,
4781,当秋千晃了一千下,剧情 Storyline,/,博物馆支线的标题,,Miles Apart,,Confirmed,ブランコが千回揺れたら,,Confirmed,그네가 천 번 흔들렸을 때,,Confirmed,Meilen entfernt,À des kilomètres,A kilómetros de distancia,В милях друг от друга,Milhas de Distância,เมื่อชิงช้าไกวพันครั้ง,Terpisah Jarak,,
4782,秋琳,角色名称 Character Name,Female,,,Qiulin,,Confirmed,チューリン,,Confirmed,추린,,Confirmed,Qiulin,Qiulin,Qiulin,Цюлинь,Qiulin,ชิวหลิน,Qiulin,,
4783,晨卉,角色名称 Character Name,Female,,,Chenhui,,Confirmed,チンホイ,,Confirmed,천후이,,Confirmed,Chenhui,Chenhui,Chenhui,Чэньхуэй,Chenhui,เฉินฮุ่ย,Chenhui,,
4784,小智,角色名称 Character Name,Male,,,Satoshi,,Confirmed,智,,Confirmed,지우,,Confirmed,Satoshi,Satoshi,Satoshi,Сатоши,Satoshi,ซาโตชิ,Satoshi,,
4785,实繁-J.T.F队员,角色名称 Character Name,Male,,,Shifan - JTF Member,,Confirmed,実繁-J.T.F隊員,,Confirmed,스판-J.T.F 대원,,Confirmed,Shifan – ZEG-Angestellter,Shifan - Membre de la FOC,Shifan - Miembro de FOC,Член ООГ Шифань,Shifan - Membro da FTC,ฉีฝาน - สมาชิก JTF,Shifan - Anggota STG,,
4786,大将军章鱼烧,地点/场所 Location/Place,/,,,Taishou Takoyaki,,Confirmed,殿様たこ焼き,,Confirmed,대장군 타코야키,,Confirmed,Taishō Takoyaki,Taishou Takoyaki,Taishou Takoyaki,Тайсё Такояки,Takoyaki Taishou,ไทโชทาโกยากิ,Takoyaki Taishou,,
4787,双叶-J.T.F队员,角色名称 Character Name,Female,,,Futaba - JTF Member,,Confirmed,双葉-J.T.F隊員,,Confirmed,후타바-J.T.F 대원,,Confirmed,Futaba – ZEG-Angestellte,Futaba - Membre de la FOC,Futaba - Miembro de FOC,Член ООГ Футаба,Futaba - Membro da FTC,ฟุตาบะ - สมาชิก JTF,Futaba - Anggota STG,,
4788,朱莉,角色名称 Character Name,Female,「青年」,,Julie,,Confirmed,ジュリー,,Confirmed,주리,,Confirmed,Julie,Julie,Julie,Джули,Julie,จูลี่,Julie,,
4789,雨夏,角色名称 Character Name,Female,「天景空馆」接待员,,Yuxia,,Confirmed,雨夏,,Confirmed,위샤,,Confirmed,Yuxia,Yuxia,Yuxia,Юйся,Yuxia,หยู่เซี่ย,Yuxia,,
4790,冬橙,角色名称 Character Name,Female,「金都云邸」酒保,,Wint,,Confirmed,冬橙,,Confirmed,동청,,Confirmed,Wint,Wint,Wint,Уинт,Wint,วินท์,Wint,,
4791,悠米,角色名称 Character Name,Female,,,Yumi,,Confirmed,ユーミ,,Confirmed,요우미,,Confirmed,Yuumi,Yuumi,Yuumi,Юми,Yumi,ยูมิ,Yumi,,
4792,伊织,角色名称 Character Name,Female,「惠比寿拍卖行」拍卖员,,Iori,,Confirmed,伊織,,Confirmed,이오리,,Confirmed,Iori,Iori,Iori,Иори,Iori,อิโอริ,Iori,,
4793,番茄酱暴走现场实录,剧情 Storyline,/,番外-安魂曲篇的标题；正式版本为“番茄酱暴走现场实录！”,,Tomato Jelly Rampage: Live Report!,,Confirmed,実録！トマトゼリー暴走現場！,,Confirmed,토마토 젤리 폭주 현장: 실시간 라이브!,,Confirmed,Tomatengelee-Raserei: Live-Bericht!,Furie de gelée de tomates : reportage en direct !,Desenfreno de gelatina de tomate: ¡Informe en vivo!,Ярость томатного желе: прямой репортаж!,Loucura da Geleia de Tomate: Cobertura ao Vivo!,เจลลี่มะเขือเทศอาละวาด: รายงานสด!,Amukan Jeli Tomat: Laporan Langsung!,,
4794,我们！意念！合一！-未来巨汪的摄影邀约,剧情 Storyline,/,异象三头犬番外,,We! Are! One! - Future Giant Pup's Photography Invitation,,Confirmed,考え！一緒！だ！-未来のビッグワンの撮影依頼,,Confirmed,우리는! 모두! 하나다!-미래 슈퍼독의 촬영 초대,,Confirmed,Wir! Sind! Eins! – Fotoeinladung eines zukünftigen Riesenwelpens,On ! Est ! Frères ! - Invitation à la photographie du futur toutou géant,¡Somos uno!: Invitación con fotografía del futuro cachorro gigante,Мы! Все! Едины! — приглашение на фото будущего гигантского щенка,Somos um só! - Convite Fotográfico do Cãozão do Futuro,เรา! เป็น! หนึ่งเดียว! - เชิญถ่ายรูปกับเจ้าหมายักษ์ในอนาคต,Kami! Adalah! Satu! - Undangan Fotografi Calon Anak Anjing Raksasa,,
